candidate_id	similarity score	score
4918	0.678691672	1
4919	0.790782818	1
4920	0.918282292	1
4922	0.997539957	0
4923	0.995661503	1
4925	0.903950973	1
4926	0.890264595	1
4927	0.714789336	1
4929	0.937438435	1
4930	0.677669625	1
4931	0.817158849	1
4932	0.819933379	1
4933	0.891582935	1
4934	0.696591343	1
4935	0.651752527	1
4937	0.787073264	1
4938	0.931354957	1
4939	0.88722797	1
4940	0.74588199	1
4941	0.756137734	0
4942	0.791250769	0
4943	0.827678995	1
4945	0.923802521	1
4947	0.846699767	1
4949	0.925969021	1
4950	0.678458493	1
4951	0.805788882	0
4952	0.893122801	0
4953	0.944970043	0
4954	0.967699184	1
4955	0.831649633	1
4957	0.765675468	1
4958	0.663352829	1
4959	0.826325606	1
4960	0.880081133	1
4962	0.919074149	1
4963	0.726666981	0
4964	0.743794237	1
4965	0.831109058	0
4966	0.730707148	1
4967	0.807299704	1
4968	0.816737669	0
4969	0.880719911	1
4970	0.851215558	0
4971	0.783651046	1
4972	0.89342761	1
4973	0.661961348	1
4975	0.894775494	1
4976	0.773720184	1
4977	0.749509866	1
4978	0.813572793	1
4981	0.846306316	1
4982	0.884023091	1
4983	0.921423996	1
4984	0.918652668	1
4985	0.617166582	1
4986	0.797137199	1
4987	0.867571564	0
4988	0.918457173	1
4989	0.884710828	0
4990	0.876143842	1
4991	0.791647307	1
4992	0.857880067	1
4993	0.740372949	0
4994	0.885716977	0
4995	0.834779582	1
4997	0.829869675	0
5001	0.749036255	0
5003	0.895185048	1
5004	0.885199227	0
5006	0.895625561	0
5007	0.820878229	0
5008	0.83058348	0
5009	0.704053084	1
5010	0.800369451	1
5011	0.781501583	0
5012	0.730401944	1
5013	0.847612175	1
5014	0.804345425	0
5017	0.540140713	0
5018	0.797832335	0
5019	0.687197108	1
5020	0.93313924	1
5021	0.813466731	1
5022	0.9411686	0
5023	0.959393647	1
5024	0.786105194	1
5025	0.92933461	1
5026	0.710247562	1
5028	0.873368427	0
5029	0.686711801	1
5030	0.777017791	0
5031	0.688082392	1
5033	0.815683649	1
5034	0.88236308	1
5036	0.738135524	1
5037	0.751230401	1
5038	0.640081022	0
5039	0.854937299	1
5040	0.886458087	1
5041	0.902372604	0
5042	0.702556361	0
5043	0.004086771	0
5046	0.900492242	1
5047	0.906460803	1
5048	0.808218113	1
5050	0.765661485	0
5051	0.727756528	1
5053	0.912926666	1
5054	0.940874221	1
5056	0.929765115	1
5058	0.811159255	1
5059	0.833499644	1
5060	1	1
5061	0.780124841	1
5062	0.802690008	0
5063	0.873962108	1
5064	0.741921231	1
5065	0.840985623	1
5066	0.819112821	1
5067	0.843105703	0
5068	0.878849382	1
5069	0.797619447	1
5071	0.910818733	1
5073	0.838705916	0
5074	0.807367264	1
5075	0.84678778	1
5076	0.882438753	1
5079	0.748296077	0
5083	0.843719613	1
5084	0.713634101	1
5085	0.92115158	0
5086	0.8605485	1
5087	0.853695108	1
5089	0.992143932	1
5090	0.873117059	1
5091	0.814073878	0
5092	0.673117232	1
5094	0.911852706	1
5095	0.810586029	1
5096	0.942981493	1
5098	0.91099425	1
5099	0.79782945	1
5100	0.734071284	0
5101	0.670699677	1
5102	0.853958827	1
5104	0.944211218	1
5105	0.88903863	1
5106	0.785369183	0
5107	0.758146668	1
5108	0.837966348	0
5109	0.77349621	0
5110	0.857600591	0
5112	0.865142679	1
5114	0.794756016	1
5115	0.785568161	1
5116	0.717003329	1
5117	0.766360264	1
5118	0.861287116	0
5119	0.75704764	0
5120	0.765960784	1
5121	0.682083798	0
5122	0.849326056	1
5123	0.525568715	1
5124	0.943786999	1
5125	0.856708521	1
5126	0.818884643	1
5127	0.940275071	0
5128	0.848708559	1
5129	0.80698674	1
5130	0.834251414	1
5131	0.767244394	0
5132	0.730933849	0
5133	0.795346425	1
5134	0.823908608	0
5135	0.824309902	1
5136	0.932959562	1
5137	0.869229366	0
5138	0.731518866	0
5139	0.866782694	0
5143	0.812977411	1
5144	0.995661503	1
5145	0.971364994	1
5146	0.881765337	1
5147	0.816868804	1
5148	0.80572013	0
5150	0.646774724	1
5152	0.846524963	1
5153	0.873822925	0
5154	0.844959198	1
5155	0.874942434	0
5157	0.861376008	0
5159	0.82173393	0
5160	0.869672456	1
5162	0.857729567	0
5163	0.901951123	0
5164	0.924318262	1
5165	0.912970009	0
5166	0.831015984	0
5167	0.920804443	1
5168	0.883590557	1
5169	0.765462571	1
5170	0.779314628	1
5173	0.806003668	1
5176	0.918365138	1
5177	0.57877828	0
5178	0.79982539	1
5179	0.914967139	1
5180	0.774662383	0
5181	0.920451582	1
5182	0.771530228	1
5183	0.749078264	1
5184	0.744577022	1
5185	0.897170553	1
5186	0.788668307	1
5188	0.87147834	1
5189	0.864576043	1
5190	0.800063856	0
5191	0.839118551	1
5192	0.845198133	1
5193	0.722742595	1
5194	0.918557994	1
5195	0.788694561	1
5196	0.81953544	1
5197	0.856947754	0
5198	0.821023092	1
5199	0.933545195	1
5201	0.719853374	1
5202	0.867886386	1
5203	0.891948199	1
5204	0.738756476	1
5205	0.875528898	1
5206	0.810343688	1
5208	0.835670915	1
5209	0.876183486	0
5210	0.967120589	1
5211	0.88919123	1
5212	0.901309429	1
5213	0.705435003	1
5214	0.876956316	1
5215	0.75805073	1
5216	0.801180425	1
5218	0.861482966	1
5219	0.919688295	1
5220	0.94532582	1
5221	0.80923168	1
5226	0.77945423	1
5227	0.753440454	1
5228	0.912840228	1
5229	0.830273213	1
5230	0.828898636	1
5231	0.908370517	0
5232	0.747341582	1
5233	0.850479138	1
5234	0.797358275	1
5235	0.86638412	1
5236	0.858269625	0
5237	0.86988226	1
5238	0.895533148	1
5239	0.789996362	1
5240	0.786788522	0
5241	0.781815106	1
5243	0.714789336	1
5244	0.828623202	1
5245	0.831056634	0
5247	0.913368758	1
5249	0.918639824	1
5250	0.720207386	1
5251	0.683964267	0
5253	0.855067807	1
5254	0.968995849	1
5255	0.940879656	1
5256	0.841339576	1
5257	0.783740598	1
5258	0.627217417	0
5259	0.836603451	0
5260	0.830180046	1
5262	0.945789867	1
5263	0.802418164	1
5264	0.70634029	1
5267	0.894407534	1
5268	0.750834812	1
5269	0.823076668	1
5270	0.89310768	1
